img_path,z
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0002597.png,-100
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0002600.png,0.01487
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0002615.png,0.01821
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0002768.png,0.03906
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0002800.png,0.01913
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0002805.png,0.004558
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0002889.png,0.01747
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0003072.png,0.01825
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0003140.png,0.01894
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0003232.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0003312.png,-100
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0003314.png,0.03981
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0003355.png,0.08238
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0003377.png,0.0189
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0003451.png,0.04079
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0003496.png,0.02289
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0003563.png,0.01829
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0003566.png,0.01767
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0003569.png,0.04085
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0003584.png,0.01807
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0003620.png,0.01521
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0003781.png,0.01741
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0003817.png,0.01791
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0003830.png,0.05068
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0003833.png,0.01708
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0003904.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0003960.png,0.03808
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0003976.png,0.01789
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0004116.png,0.03839
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0004124.png,0.03755
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0004363.png,0.01767
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0004367.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0004368.png,0.01879
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0004376.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0004415.png,0.01722
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0004416.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0004484.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0004485.png,-100
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0004500.png,0.0448
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0004540.png,0.004991
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0004608.png,-100
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0004647.png,0.006458
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0004663.png,0.01352
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0004734.png,0.01744
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0004793.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0004805.png,0.006004
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0004812.png,0.04684
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0004897.png,0.01716
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0004899.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0004906.png,-100
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0004979.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0004992.png,0.02715
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0005055.png,0.02754
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0005056.png,0.02481
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0005078.png,0.03415
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0005220.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0005261.png,0.0219
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0005270.png,0.03696
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0005271.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0005291.png,0.01706
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0005298.png,0.05263
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0005326.png,0.01803
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0005330.png,0.006462
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0005366.png,0.01798
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0005415.png,0.01509
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0005436.png,-100
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0005449.png,0.01744
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0005527.png,0.02116
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0005539.png,0.01847
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0005540.png,0.01824
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0005574.png,0.01732
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0005645.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0005673.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0005688.png,0.01809
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0005771.png,0.01553
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0005776.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0005792.png,0.009387
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0005803.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0005830.png,0.0155
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0005838.png,0.01634
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0005932.png,0.01956
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0005939.png,0.01726
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0006004.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0006005.png,0.03531
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0006090.png,0.01659
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0006155.png,0.04212
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0006193.png,0.02717
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0006292.png,0.002474
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0006309.png,0.002814
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0006318.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0006364.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0006450.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0006504.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0006505.png,0.01301
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0006516.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0006627.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0006628.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0006636.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0006637.png,0.005408
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0006657.png,0.01681
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0006667.png,0.006628
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0006670.png,0.02626
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0006671.png,0.005872
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0006673.png,0.01695
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0006678.png,0.03344
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0006826.png,0.006225
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0006832.png,0.04315
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0006835.png,0.04266
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0006855.png,0.01613
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0006861.png,0.01795
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0006888.png,0.05918
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0006982.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0006986.png,0.05952
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0007022.png,0.02643
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0007042.png,0.01705
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0007046.png,0.01582
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0007063.png,0.02074
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0007064.png,0.05235
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0007090.png,0.01854
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0007114.png,0.02131
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0007118.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0007210.png,0.02709
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0007246.png,0.02552
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0007262.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0007328.png,-100
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0007341.png,0.02641
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0007366.png,0.01796
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0007465.png,0.02334
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0007485.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0007533.png,0.01538
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0007536.png,0.01537
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0007574.png,0.02777
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0007632.png,0.01586
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0007654.png,0.003814
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0007740.png,0.01989
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0007741.png,0.01943
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0007748.png,-100
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0007806.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0007835.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0007846.png,0.01218
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0007856.png,0.01212
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0007889.png,0.01783
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0007905.png,0.00643
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0007965.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0007966.png,0.02516
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0007979.png,0.04245
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0007998.png,0.006419
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0008014.png,0.02478
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0008029.png,0.04261
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0008060.png,0.02005
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0008165.png,0.01481
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0008182.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0008201.png,0.01289
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0008225.png,0.01282
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0008228.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0008232.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0008250.png,0.01287
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0008258.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0008295.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0008302.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0008397.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0008399.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0008406.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0008412.png,0.01285
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0008439.png,0.04078
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0008464.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0008502.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0008522.png,0.04105
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0008526.png,0.02012
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0008586.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0008659.png,0.02679
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0008718.png,0.02146
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0008876.png,0.02578
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0008929.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0008979.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0009028.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0009256.png,0.02132
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0009283.png,0.005125
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0009352.png,0.02107
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0009359.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0009376.png,0.0409
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0009406.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0009414.png,-100
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0009445.png,0.02019
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0009514.png,0.02218
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0009530.png,-100
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0009549.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0009617.png,0.02123
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0009621.png,0.01631
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0009642.png,0.02201
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0009643.png,0.0219
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0009684.png,0.02057
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0009711.png,0.02244
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0009765.png,0.02194
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0009817.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0009822.png,0.022
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0009843.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0009846.png,0.005104
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0009869.png,0.008903
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0009880.png,0.03743
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0009894.png,0.02192
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0010060.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0010065.png,0.004244
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0010108.png,0.0243
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0010117.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0010122.png,0.004603
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0010132.png,0.004827
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0010137.png,0.03771
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0010140.png,0.03876
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0010175.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0010208.png,-100
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0010213.png,0.004589
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0010249.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0010285.png,0.03159
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0010290.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0010315.png,0.02672
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0010381.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0010464.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0010496.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0010507.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0010559.png,0.02147
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0010574.png,0.02788
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0010634.png,0.02166
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0010647.png,0.02162
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0010649.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0010651.png,0.02796
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0010673.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0010697.png,0.02381
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0010726.png,0.02193
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0010747.png,0.02337
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0010766.png,0.01776
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0010794.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0010843.png,0.02326
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0010854.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0010857.png,0.0293
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0010875.png,0.01679
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0011000.png,0.0236
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0011007.png,-100
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0011067.png,-100
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0011075.png,0.0137
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0011112.png,0.02299
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0011148.png,0.01736
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0011154.png,0.01575
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0011170.png,0.02912
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0011397.png,0.008856
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0011537.png,0.01355
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0011573.png,0.007133
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0011598.png,0.0232
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0011670.png,0.01075
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0011751.png,0.01216
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0011767.png,0.02892
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0011813.png,0.0126
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0011912.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0011919.png,-100
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0011966.png,-100
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0012017.png,0.02607
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0012090.png,0.03138
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0012163.png,0.02273
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0012220.png,0.02283
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0012259.png,0.01749
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0012262.png,0.02286
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0012466.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0012531.png,-100
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0012560.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0012620.png,-100
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0012633.png,0.009066
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0012655.png,0.0229
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0012733.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0012772.png,0.01892
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0012801.png,0.03449
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0012803.png,0.03483
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0013005.png,0.01393
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0013009.png,0.01315
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0013117.png,-100
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0013204.png,0.03408
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0013218.png,0.01756
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0013308.png,0.01032
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0013394.png,-99.99
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0013406.png,-100
/content/drive/MyDrive/Colab Notebooks/galaxy_images/PGC0013407.png,-99.99
